User,comment
Shahfaisal Khan,Bara housla chaheye is ourat ko sunnany k liye... safdar awan teri azmat ko salam tu qiyamat k din shaheedo mein uthaya jaye ga 🤪🤪🤪
Syed Muhib,Bara housla chaheye is ourat ko sunnany k liye... safdar awan teri azmat ko salam tu qiyamat k din shaheedo mein uthaya jaye ga 🤪🤪🤪
Junaid Saleh Ghanjera,Barks like a stray dog
Razia Rizvi,Bas choor kehne aya tha
Fawad Khan,Bas Imran Khan ka Ek Hi Kam Hai Aawara kutton ko khana khilana aur to Koi Kam Nahin Hai
Ali Azhar,Basss Karen camera kaaa Kmaal h naani Marium
Sikandar Khan,Bat Tu Sahi Kahi Hai Wesay
Abdullah Kohistani,Bbvf.
Sajid Mahmood,Bchod sunday ko adalat laga k hamza shahbaz ko bail dy di gai lahore high court main judiciary aur kitna freedom mangti ha
Ali Shaikh,Be a man and resign from NA. Easiest way to send the government home!. Why don't you do it?
Zahid Iqbal,Be a man and resign from NA. Easiest way to send the government home!. Why don't you do it?
Danish Khan,Be ghairat
Muhammad Ahmad,Be ghrat inn py b shaliing kro
Muhammad Imran Rafi,"Because of imbeciles like him, the principles of our religion are compromised! Ask him any question related to our religion,  he will bluber like an idiot!"
Waqas Awan,"Because of this hypocrite and imposter ,the religion and maulvis get stained alike..such class of people are worse than the jackals who use religion for their personal selfish interests.."
Mohammad Irfaan Dar,Bechara pagal
Tayyab Wazir,bechary ab tk byaneye k chakar main hain ki konsa wala teek rahy ga
Muhammad Waqas,Becoming President in same government was sawab. Getting  salary by his son and brother in same government is halal.
Faisal Shahzad,Been Kashmir committee chairman for years without declaring Jihad there.
Eidul Azam,Been Kashmir committee chairman for years without declaring Jihad there.
Hassaan Ra,"Before jumping to conclusions, let Bilawal get impression of what media reports and respond accordingly. I can understand that most of the people are only trained in vomiting ideas and conclusions, rather than showing ability to first make in depth inv…"
Ehmmad Shabbir,Behan aplogo ny ni lia hota to mun hota bolny waly
Asghar Hussain,Being diplomatic in order to get his name selected. Good strategy
Adnan Anwar,Bekao media
Shahzad Nayyar,"Believe in Your army else there be nothing!!! Pakistan Zindabad,"
Tahseen Abedi,"Believe me Maryam k hamnawao yahn zayada log biryani k lalach Mei aye hN. ,😜"
Shoaib Gangat,"Believe me, had he not known to us, nobody would resist his artistic ability of manipulating lies. By the way, we should admire the fact that he is a professional goon and demagogue."
Farhan A,Belkul maza nhi aya ap jasy makar urat k moo .🤧🤧
Nyla Nasir,"Bemar hona bhi ab itna asan nahi lekin 2,50000 ka jota 👠pehena to Asan he . Wo bhi tumhare liye... bewkoof kisi or ko banao"
Prasanna Manchegowda,Benazer.. Benazer hi thi... Koi nai ponch sakta benazer ko
Bilal Ibrahim Kamboh,beshak PDM... or choroon.... ki kahani khatam..
Zubair Hyder,Besharam aurat hai.  Iski baat pe koi etabar nhi kray ga.
Shahid Rajab Ali,Best beggar in the world
Sylvia Jaffery,Beta ham serf khana awr rozgar nai chahty... Ham pakistan ko is Sahi samt Dena chahty Hain.. Roz Jo qarzy leye jaty hai.. to uska Kiya hoga...
Enigmatic Dx Faiz,Bewaquf Orat Pakistan ki Import me kami Ayi he. Or eb Pakistani Awaam apni industry laga rahy hen. Js ka result any waly kuch arsa me nazer aye ga..
Lubna Khan,Bhagory wapis aa
Jahanzeb Kadir,Bhai apni gender ka elaj kwrwaly pehly
J Khan,Bhai isko koi... Band krlo
Sharjeel Ikram,Bhan to khadim hussan k janzy ka Muqabla nahi kar sakti
Suleman Wazir,Bhar b nhi skty ye minar e pakistan
Asad Imam,Bhgory bap bhgori beti
Samar ZH,Bhonk na
Zahid Mir,Bhooky kuty aik shair ka shikar krny k leay ikhaty hain mashAllah
Aamna Hassan Fasihi,Bhot mohabat hai wala bhawal pur wala log
Ammad Khan,Bibi Koi Lahori Jalsey me nahi hey
Didar Ali,"Bibi, these many people come to see you or they really want to restore democracy?.... I really have this doubt."
J Khan,Big drama
Pakistan Patriots,Big show
Arshad Yousafzai,Bijli r gas ap k dor sy hi ja rhi h madam g ap ny humy kn sa sakon diya h
Muhammad Asad Bukhari,Bilawaja bhutto
Mir Ali,Bilawal again ready to turn his father from Zardar to Bajwa
Usman Javeid,Bilawal always makes sensible points. Hope he gets a major role in the new scheme of things. Fresh ideas and visionaries very much needed to make positive changes!
Ansab Ali,Bilawal anty
Zarreen Abdullah,bilawal asking for a job as a prime minister
Amir Satti,Bilawal in Malakand- his ultimate destination. Hope both parties are happy.
Ablaze Brain,Bilawal ko to december 2019 main green signal mila tha
Abu-Bakar Usman Haider,"Bilawal Looter Zardari lives in his own dream world . The masses never go on streets to protect looters. Historically seen corrupt looters are those who are hanged by the poor at some stage . We don’t want to go that far , but I guess the jail is the r…"
Mushaid Ktk,Bilawal saheba tu buhat zur laga rahi hy 🤣
Nimra Badar,Bilawal sahiba kia kehe rahi hain ye jang gharib ko roti kapra makan ka jang hain abey angrez ki ulad tum log 70 saal me roti kapra makan nahi de sake ab kia donge
Zahid Ali,"Bilawal should focus on Sindh rather then criticising federal government the people of Sindh need food, clean drinking water, sewage system, quality education etc."
Sikander Cheema,"Bilawal ur mother was killed in a rally, you did not shock that time, so u cannot dare to talk publicly about military establishment who interfere in politics. Public must know about the forces who destabilize country, derail democracy, violate constit…"
Kapil Sharma,Bilawal Zardari you need to go back to Dubai or wherever you came from beta and stay there.
Farooq Aftab,"Bilawal, and what sort of democracy is this where your party chairmanship is limited only to your family? So sad, that you still don't wear a contrite expression on your face while talking about democracy."
Aqsa Kay,Bilkul
Syed Shah,Bill newz juothi  hai
Hashim Khushk,Billo rani aise nai kehte ku k phr sindh government bhi nai rahe gi
Farooq Nasir,"BILLY THE BRAINLESS BABY,A PRODUCT OF CORRUPTION HAS BEEN LICKING THE WRONG SIDE OF THE LOLLIPOP  WHICH HE WAS GIVEN"
Rana Saqib Shahzad,Bilo rani
Asim Yasin Hafiz,bilo rani
Prakhar Prabhat,Bilo Rani mix achar parti
Adnan Anjum,Biryani opposition
Muhammad Naseem,Bitcoin mining and trading is one hell of an opportunity you don't want to miss out on. Crypto trading brings an opportunity where you can invest your money and make good profit without having to send your money to anyone. Crypto investment is taking o…
Aamir Nazir,Bitcoin mining and trading is one hell of an opportunity you don't want to miss out on. Crypto trading brings an opportunity where you can invest your money and make good profit without having to send your money to anyone. Crypto investment is taking o…
Rehan Ahmed,BIYANIYA
Mir Aman Shah,Blawal Hraam ki Aolaad
M IkRm AfriDi,Blood of Zirdari speaking.
Shahnawaz Khanday,Bodhi Pehle sahi tarha khari ho ja pata nahi kab Maray ge
Zanny Malik,Bohat joot boltay Hai pdm walay
Noman Ahmed Zaka,Boht dabang thi benazir
Mian Imran,bol bhi kon raha haai
Umair Rashdi,Bol news r ary news: sirf 6 hazar log hai
Ahmed Abdul Qadoos,Bola waly dalyor knjer
Syed Saqib Mumtaz Hashmi,Bolanina hath ni ha ya Baney ge prime minister Imran Kahan ko challenge karati ha
Zubeida Khatoon,Brave leader
Arooj Khan,Breav woman
Mudassar Ali,BTW...... She speak thruth......
Deepak Joshi,Bubbloo ab ghar jao
Muhammad Za'id,bunch of
Faisal Zuberi,Bunch of jockers and non serious politicians running the country. Learn political maturity from Indian Politicians when it comes to national interest.
Tehzeb Jan,Bunch of losers
Ahmad Khan,But Corona ??
Tariq Ahmad,But court declared your father as NA EHAL
Abdur Rehman Ali,But only you are missing.
Syed Ali Raza Shah,But Shahid Khaqan Abbasi was corrupt as he was buying it on much lower price.
Muhammad Farhan,By stating this ...he seems confused himself that means PDM alliance parties did not told him who will and what will going to be addressed to the people.... Can we buy that ... I guess NO!!
Mubashir Hassan Khan,C/C
Bedi Khan,Calebri Rani.... an outlaw herself daughter of an absconder lecturing masses and elected government...a corrupt family to the core
Yawar Khalid,Call giral
Sobia Saher,"Call him a thug, theif, corrupt or whatever, nothing's been proven against him except his work permit in Dubai when he was in exile because of a dictator Musharraf."
Sami Ullah,Calling this heinous creatue a moulana is a sin itself.
Ghulam Mustafa Khatri,"Can he tell public when he mention selectors, whom he refers to."
Shahid Baig,Can I get contact of her plastic surgeon? He did a tremendous job there.
Khalid Saeed,"Can someone edit the video and add public shouting ""NRO, NRO, NRO"" in the background so Mian Sb's speech makes more sense"
Saleem Afridi,Can someone shut this loser up
Asif Aurangzeb Khan,Carry on amending for another two and a half years
Babar Waseem,Chairperson
Sadruddin Jamaluddin,Chairperson?
Yousaf Alam,Chairs nhiii hen. Wo to chori ho gai 🤣🤣🤣🤣🤣🤣
Bilal Ahmed,Chal Jhooti !!
Lubna Khan,Chal jhooti baji
Muhammad Talha,Chal jhooti Qatari khat!! 📨📨
Ghufran Farooqi,Chal jhothi Nani 420.
Sami Buneri,Chal nikall...
Omar Bashir,Chal thak gai hy beth ja nani tera bap kaha hy
Chouhdry Nabeel,"Chan was on the right side , not on opposition side.   He has to learned from the fate of Trump . And all other populist leaders."
Tamoor Murtaza,Channel name mama ideas join krin
Sajad Wani,Characterless and shameless she-Male...
Ibraz Khatib,Charter of Democracy? More like Charter of Kleptocracy I can say.
Abdullah Khan,Charter of Fee Lassi & Diesel
MohammadAmin Munshi,Chat khao aur buk buk kartay raho
Zahid Dar,Chatur bhia ..
Khurram Waheed,Cheekho cheekho Daku ki Rani. Chekho. Jitni marzi hai cheekho. Noon league ka jinaza nikla be aur dafan be huwa. Loota huwi dowlat  waps kero.
Ehtisham Ul Haq,Cheekhti raho koi nahi sune ga chorni
Asad Afghan,cheekhyn naani ki
Syed Muzaffar Ali,Chocolate boy is gradually opening his mouth.
Waleed Bin Khalid,Chooooooor choooooor we will never acept you
Qamar Naqi,Chor
Haroon Malik,Chor
Muhammad Shoaib Aslam,Chor
Muhammad Zauq,Chor
Ali Ahmed,Chor
Arif Sahibzada,Chor
Syed Mehdi,Chor
Kamran Khan,Chor
Mahvash Wali,Chor
Aleem Ullah,Chor
Shahzad Ahmed,Chor
Haris Samad,Chor
Tariq Jalil,Chor
Abdul Hafeez,Chor
Saif Khan,Chor
Jazib Saddozai,Chor
Aemen Khalid,Chor
Muhammad Rafay Afaq,Chor
Saher Nasir,Chor
Abu-Bakar Usman Haider,Chor
Sami Ullah,Chor
Xeno Tajammul,Chor
Fai Sal Malik,Chor
Hizar Hayat,chor
محمد ابراہیم,CHOR
Manan Manan,Chor
Reyaan Rasool,Chor
Saif Ul Huk,Chor
Tasneem Sa,chor
Muhammad Ahmed,chor
Javed Ahmed Khan,chor
Shahan Alam,chor
Aayan Muhammad,chor
Aamir Nazir,chor
Ijaz Khan,chor
J Khan,chor
Sheraz Maalik,chor
Chaudary Talal Ausaf,chor
Sahir Khan,chor
Zaffar Abbas,chor
Moin Ahmad,chor
Noman Fareed Sial,chor
Musaddiq Baig,chor
Shamim Soomro,chor
Afrasiab Khalil,chor
Shabbir Mohammad Hashmi,chor
Waseem Ul Haq,chor
Zeeshan Aslam,chor
Abdul Sattar,chor
Waqas Nawaz,chor
Rizwan Elahi,chor
Misbah Ulhaq,chor
Leaks Lii,chor
Hussain Khan,chor
Ahmed Basra,chor
Fiaz Rajput,chor
Amina Nasar,chor
Chandio Bashir,chor
Amar Ali Bhatti,chor
Muhammad Ishaq Khan,chor
Roshan Khan,chor
Mujahid Choudhry,chor
Malik Aurangzaib,chor
Asad Mujtaba,chor
Fahad Qadri,chor
Masood Mirza,chor
Abdul Rafay,chor
Syed Naqvi,chor
Mukhtar Azam Shah,chor
Baseer Ullah,chor
Nasir Aly,chor
Siddharth Banerjee,chor
Sadhu Kumar,chor
Arshad Khan,chor
Kamran Farooq,chor
Saad Rasheed,chor
Css Challenger,chor
M. HaMza Salarzai,chor
Bushra Mushtaq,chor
Abu-Bakar Usman Haider,chor
Sikander Khan,chor
Faisal Chishti,chor
Arif Sahibzada,chor
Moin Ahmad,chor
Sohail Anwer,chor
Faizan A. Khan,chor
Naqash Azam Bajwa,chor
Abid Siddiq,chor
Ainy Shahid,chor
Khanday Yousuf,chor
Fatima Ch,chor
Saiyed Jawaid,chor
Ahmed Asif Ch,chor
Kaleem Khan,chor
Abbas Khan,chor
MohammadAmin Munshi,chor
Huzaifah Bukhari,chor
Tasawwer Shehzad,chor
Saqib Atiq,chor
Syed Saba,chor
Amjad PK,chor
Aseem Takyar,chor
Azhar Mahmood,chor
Syed Sajad,chor
Altaf Hussain,chor
Gohar Nayab,chor
Aamir Khalil,chor
Zoeb Abbas,chor
Lubna Asghar,chor
Noaman Masood,chor
Ahammad Coldwell,chor
Tariq Khan Otmanzai,chor
Alif Aye,chor
Dure Nayab,chor
Ayesha HS,chor
Yasir Khan,chor
Jamil Bhatti,chor
Rasif Khan,chor
Mujtaba Tahir,chor
Elif Nur,chor
Shahzad Ahmed,chor
Abu Bakar Inayat,chor
Iram Bilal,chor
Ehmer Mughal,chor
Baber Aziz,chor
