users,comments,labels,,
HAMDAN URDU NEWS,"Sawat Motorway Thanks Nawaz Sharief 
@MaryamNSharif 
#NawazSharif #PDMJalsa https://t.co/FeNjwrA36e",agree,,
Awais Ahmed Tunio pyo??,"RT @NajdaDar: Yes, I have tried ISPR’s tea and “it was fantastic” - hey don’t get me wrong I was there for an internship but #mulana would…",sarcastic,,
Muhammad Aslam ????,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Muhammad Aslam ????,"RT @Ch_Minahal: #PakistanRejectsPDM
Prime Minister Imran Khan always talks of peace and Modi creates an atmosphere of war by killing Indian…",disagree,,
Muhammad Aslam ????,"RT @Ch_Minahal: #PakistanRejectsPDM
I am addressing Manahel Chaudhry Indian mothers, sisters and brothers, just as Modi killed your family…",angry,,
????? ??????,"#PakistanRejectsPDM
Prime Minister Imran Khan always talks of peace and Modi creates an atmosphere of war by killin… https://t.co/9kZdvddjJ8",disagree,,
????? ??????,"#PakistanRejectsPDM
I am addressing Manahel Chaudhry Indian mothers, sisters and brothers, just as Modi killed your… https://t.co/BgxI4bzt6h",angry,,
Ershad Bhatti,"I hate pdm 
Love Great Pm imran Khan ??
#PakistanRejectsPDM",disagree,,
Rizwan Naqvi,"All thieves gathered against Imran Khan
#PakistanRejectsPDM",angry,,
Rizwan Naqvi,"Pakistani people reject the 
Pakistan Dacko Movement
#PakistanZindabad
#PakistanRejectsPDM",disagree,,
MUHAMMAD IMRAN YUSUF,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Iftinana@outlook.com,"#PakistanRejectsPDM
People of Pakistan hate the very sight of you PDM leadership Pandit Fazlu, Bilawal the Haijra &amp; Nani 420.",disagree,,
Atif Daud,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Dr. Asma,"Power does not corrupt the people,people corrupt power. Therefore corruption does not wins more then honesty..… https://t.co/CsNG8ZQFwW",disagree,,
Khadeeja BATOOL,#PakistanMovingForward #PakistanRejectsPDM #Pakistan this is the reality. https://t.co/ZkUBU7U8w4,disagree,,
Imtiaz Ahmad shah,RT @Minahal_Ch: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
???? ????,RT @Minahal_Ch: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Hkiahs,"RT @Minahal_Ch: Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pX…",disagree,,
????? ??????,Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N a… https://t.co/b8XNeWqTWr,disagree,,
Hamid Murtaza Khan Lodhi,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",disagree,,
Syeda Nuzhat Gillani,"RT @realJunaidHassn: I Reject #PDM ?
I Reject @MaryamNSharif ?
I Reject @NawazSharifMNS ?
I Reject @BBhuttoZardari ?
I Reject @MoulanaOffic…",disagree,,
????? ??????,"RT @Minahal_Ch: Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pX…",disagree,,
????? ??????,"Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pXjbmscsXs",disagree,,
???? ????? ???????(?????),"RT @SaadisPak: Yes, senate election is the actual target. in actual all these efforts are to somehow stop PTI from getting majority in sena…",agree,,
???? ????? ???????(?????),"RT @realJunaidHassn: I Reject #PDM ?
I Reject @MaryamNSharif ?
I Reject @NawazSharifMNS ?
I Reject @BBhuttoZardari ?
I Reject @MoulanaOffic…",disagree,,
???? ????? ???????(?????),"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",disagree,,
Mumtaz Ahmad Mirani,"RT @billzzziraja: @MaryamNSharif I am a Trader and 
I Reject #PDM ?
I Reject @MaryamNSharif ?
I Reject @NawazSharifMNS ?
I Reject @BBhuttoZ…",disagree,,
Mumtaz Ahmad Mirani,"RT @hisbanspeaks: Connect to the dots here My dear Pakistanis, this #PDM is agenda driven, what they all want is to safe their money and sh…",disagree,,
IVF?M U N E E B ????????,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",disagree,,
???IVF,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",disagree,,
GhazalaBaji,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",disagree,,
???IVF,"InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM https://t.co/zBaHSoI88c",disagree,,
Kadam Satish,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
Isma_ Shaukat,"I think, therefore, I am ??
Covering PDM rally Islamabad kashmir chowk 

#PDM 
Islamabad 
#pdmjalsa 
#Islamabad https://t.co/6NklFyn9Ha",agree,,
Dhinesh KD,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
Sanjay Gujjar,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
Tarik Ahmad,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
Jarnail Singh,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
Muhammad Rashid Ali Choudhary,RT @MaizaHameed: Scenes from back side of Minr A Pakistan full crowd during @MaryamNSharif speech #PDMJalsa numbers speak for themselves h…,agree,,
Hina Sheikh Kinariwala,RT @DilAwai92620210: This #StudentsWantOnlineExams trend is being supported by all nalayaq #Patwari s of #PMLN. As civilized students they…,sarcastic,,
Dil Awaiz Khan,This #StudentsWantOnlineExams trend is being supported by all nalayaq #Patwari s of #PMLN. As civilized students t… https://t.co/cR2jkGCAZO,sarcastic,,
Sappu Ram,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
zee??,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
RabRaakha,@NawazShrifMNS Mian saanp ?? giving speech in #PDMJalsa from #London ??,angry,,
Assadullah Bayad,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
????? ???? ??? ???? ???? ?????imran burger,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Z??????????????L??K??,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Rao M.Anwar,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
shoaib mughal offical,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Abdullah Butt,RT @haiderium14: They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stupid ral…,angry,,
Hazara Grenade,They not only #bringbackcorruptednawaz but also let her absolutely ridiculous and merit less @MaryamNSharif do stu… https://t.co/hFHlkRtOFU,angry,,
BTV,#Bulletin 2100 PST - 15th January 2021 - #BTV - #Badar #Television #Network https://t.co/l9fyKn58jL via @YouTube… https://t.co/Kwxz9mUP3D,,,
BTV,#Headlines 1800 PST - 15th January 2021 - #BTV - #Badar #Television #Net... https://t.co/hjcaf6YOQe via @YouTube… https://t.co/unR119sFRj,,,
BTV,#Headlines 1500 PST - 15th January 2021 - #BTV - #Badar #Television #Net... https://t.co/wlxmpzkxnL via @YouTube… https://t.co/qOkl8mJSOa,,,
BTV,#Headlines 1200 PST - 15th January 2021 - #BTV - #Badar #Television #Net... https://t.co/3PZjnzfodh via @YouTube… https://t.co/n6ACeFrRK4,,,
Marium,RT @zaaraZAK: To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,,,
MumtazBikak,"RT @MPASajidJokhio: Malir as always forte of PPP. My jiyalas of malir come and join me in #Multan, let's show #Malir rejects this selected…",agree,,
Jagroop Pannu,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
The Khyber Times,"Live: Important Press Conference of Secretary General PML-N Ahsan Iqbal.
https://t.co/kohSmlkUws
.
#PDMLoralaiJalsa… https://t.co/oLUhH4SJlJ",neutral,,
Zafar Iqbal,RT @ahmedfaisalch: Here’s to Team Larkana’s humble efforts of maintaining peace &amp; security on 27th Dec #PDMJalsa. Alhamdulillah on its smoo…,agree,,
Deepak Ghale,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
M Ashraf,@MaryamNSharif Madam Maryam Bibi.we missed you so much at the #pdmjalsa in Lorelei.The only question on everyone's… https://t.co/YOfGGuI1F7,agree,,
DJ Butt Official,"RT @_Mansoor_Ali: [EXCLUSIVE] Why Imran Khan is angry with DJ Butt? | Shocking details of FIR | Mansoor Ali Khan

https://t.co/QN5YnCv60h…",angry,,
Abhimanyu Kumar,RT @Par1Ke: The monumental scale of corruption done by #ImraanKhan and his ministers has been exposed and the opposition's Pakistan Democra…,agree,,
M. Usman Haidar NA 103,RT @MaizaHameed: Scenes from back side of Minr A Pakistan full crowd during @MaryamNSharif speech #PDMJalsa numbers speak for themselves h…,agree,,
@bdul_$@m@D_Ebr@him ??,"Abhinandan calls Fazlur Rehman and hung up saying, ""don't go to Rawalpindi"", sources said. 

#PDM 
#pdmjalsa",sarcastic,,
Malik muhammad Umar khan,"RT @_Mansoor_Ali: DG ISPR denies rumors about contact with Opposition | Offer of tea for Maulana | Mansoor Ali Khan

https://t.co/YS6njJ5qg…",neutral,,
M Ashraf,"Maryam Bibi, I have heard that you aren't coming to tomorrow #PDMJalsa Believe me we are very disappointed @MaryamNSharif",neutral,,
Naeemullah Silachi Baloch,#????_????_???? if zalalat had a face???????????????? #WhatsAppheadquarters #PAFsTeaWasFantastic #moulana… https://t.co/IMcgJPeNqs,sarcastic,,
Oxygen,"Preparations for tomorrow meeting of PDM in Loralai.
#PDMJalsa https://t.co/h7zDTqPifk",neutral,,
PakArmy,"RT @NajdaDar: Yes, I have tried ISPR’s tea and “it was fantastic” - hey don’t get me wrong I was there for an internship but #mulana would…",sarcastic,,
PakArmy,"RT @Pak_Destiny: PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors #DGISPR #PDMR…",agree,,
Engr. Asif Farman,@iamowaisnoorani @MaryamNSharif Malakand people missed the brave daughter of brave leader today in #PDMJalsa,agree,,
Awais Ahmed Tunio pyo??,"RT @Pak_Destiny: PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors #DGISPR #PDMR…",agree,,
True_Solider,"RT @Pak_Destiny: PDM is done and dusted, Nawaz to chill out in London https://t.co/cqMeTtvQFF 

#????_????_???? #AskSelectors #DGISPR #PDMR…",agree,,
HAMDAN URDU NEWS,"Sawat Motorway Thanks Nawaz Sharief 
@MaryamNSharif 
#NawazSharif #PDMJalsa https://t.co/FeNjwrA36e",agree,,
Awais Ahmed Tunio pyo??,"RT @NajdaDar: Yes, I have tried ISPR’s tea and “it was fantastic” - hey don’t get me wrong I was there for an internship but #mulana would…",sarcastic,,
Muhammad Aslam ????,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Muhammad Aslam ????,"RT @Ch_Minahal: #PakistanRejectsPDM
Prime Minister Imran Khan always talks of peace and Modi creates an atmosphere of war by killing Indian…",disagree,,
Muhammad Aslam ????,"RT @Ch_Minahal: #PakistanRejectsPDM
I am addressing Manahel Chaudhry Indian mothers, sisters and brothers, just as Modi killed your family…",disagree,,
????? ??????,"#PakistanRejectsPDM
Prime Minister Imran Khan always talks of peace and Modi creates an atmosphere of war by killin… https://t.co/9kZdvddjJ8",disagree,,
????? ??????,"#PakistanRejectsPDM
I am addressing Manahel Chaudhry Indian mothers, sisters and brothers, just as Modi killed your… https://t.co/BgxI4bzt6h",angry,,
Ershad Bhatti,"I hate pdm 
Love Great Pm imran Khan ??
#PakistanRejectsPDM",disagree,,
Rizwan Naqvi,"All thieves gathered against Imran Khan
#PakistanRejectsPDM",disagree,,
Rizwan Naqvi,"Pakistani people reject the 
Pakistan Dacko Movement
#PakistanZindabad
#PakistanRejectsPDM",disagree,,
MUHAMMAD IMRAN YUSUF,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Iftinana@outlook.com,"#PakistanRejectsPDM
People of Pakistan hate the very sight of you PDM leadership Pandit Fazlu, Bilawal the Haijra &amp; Nani 420.",disagree,,
Atif Daud,RT @Ch_Minahal: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Dr. Asma,"Power does not corrupt the people,people corrupt power. Therefore corruption does not wins more then honesty..… https://t.co/CsNG8ZQFwW",angry,,
Khadeeja BATOOL,#PakistanMovingForward #PakistanRejectsPDM #Pakistan this is the reality. https://t.co/ZkUBU7U8w4,disagree,,
Imtiaz Ahmad shah,RT @Minahal_Ch: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
???? ????,RT @Minahal_Ch: Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N and PPP b…,disagree,,
Hkiahs,"RT @Minahal_Ch: Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pX…",disagree,,
????? ??????,Prime Minister Imran Khan has said that the people of Lahore rejected the PDM show and made a big decision. PML-N a… https://t.co/b8XNeWqTWr,disagree,,
Hamid Murtaza Khan Lodhi,"RT @Hum_IVF: InShaa Allah 
Tuesday Morning 10Am

IVF Will Lead HT
#PakistanRejectsPDM",disagree,,
Syeda Nuzhat Gillani,"RT @realJunaidHassn: I Reject #PDM ?
I Reject @MaryamNSharif ?
I Reject @NawazSharifMNS ?
I Reject @BBhuttoZardari ?
I Reject @MoulanaOffic…",disagree,,
????? ??????,"RT @Minahal_Ch: Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pX…",disagree,,
????? ??????,"Federal Minister Murad Saeed has said that the people also rejected the PDM
@Minahal_Ch
#PakistanRejectsPDM https://t.co/pXjbmscsXs",disagree,,
???? ????? ???????(?????),"RT @SaadisPak: Yes, senate election is the actual target. in actual all these efforts are to somehow stop PTI from getting majority in sena…",agree,,
???? ????? ???????(?????),"RT @realJunaidHassn: I Reject #PDM ?
I Reject @MaryamNSharif ?
I Reject @NawazSharifMNS ?
I Reject @BBhuttoZardari ?
I Reject @MoulanaOffic…",disagree,,
Mumtaz Ahmad Mirani,"RT @hisbanspeaks: Connect to the dots here My dear Pakistanis, this #PDM is agenda driven, what they all want is to safe their money and sh…",disagree,,
?? ?? ?? ????? ??? ??? ???? ??? ??? ????,"RT @AseefaBZ: Thank you to the workers and leadership of all #PDM parties, who braved government tyranny and joined @MediaCellPPP on our 53…",agree,,
James Malcom,It will be interesting to see what new excuse #PTIGovernment comes up with to stop #PDM's march on 19th.… https://t.co/mSub9IDOCK,agree,,
Taaiba Khawaja ?????? ?????,Pakistani politics has the same vibe #pakistan #PDM https://t.co/E5r0rppZvS,sarcastic,,
Maham Zupash Kamran,"#fazlulrehman should be stripped of his titles. He's using them to create chaos in the country. What a shame.
#Pakistan #PDM",angry,,
Eric A. Beatty,"RT @timoteomuller: Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still growin…",neutral,,
~ ! ~,"I think only fools accepted that PMLN or PPP would be revolutionary.

PMLN is an opportunist political outfit so is… https://t.co/DJkOfPIPT9",angry,,
Jim Brown,Get an early view of @JulieFraser's data on how semiconductor and high-tech companies can improve innovation and pr… https://t.co/ximfkBgJ71,neutral,,
RazaRRF,RT @Ahmad99951120: To get rid of both incompetent @ImranKhanPTI govt along wd his alies &amp; Lota Electables &amp; on other hand our corrupt oppos…,disagree,,
ALI RAUF JASWAL,Since #PDM has not been effective in it's rallies &amp; overall movement against the govt so once #PTI #ImranKhan gener… https://t.co/wpQIia93g4,disagree,,
Ahmad,"RT @Ahmad99951120: @khaleejtimes Common pakistani people currently facing 
1. Incompetent @ImranKhanPTI govt
2. Corrupt Opposition parties…",angry,,
Ahmad,RT @Ahmad99951120: To get rid of both incompetent @ImranKhanPTI govt along wd his alies &amp; Lota Electables &amp; on other hand our corrupt oppos…,angry,,
Ahmad,To get rid of both incompetent @ImranKhanPTI govt along wd his alies &amp; Lota Electables &amp; on other hand our corrupt… https://t.co/BFbfzvJd1k,angry,,
Monica Malik,Imran Khan said he would not beg IMF. Now IMF is dictating further increase in power Tariff by 2 Rupees. Expect hik… https://t.co/JngaBidYNp,angry,,
Timoteo Müller,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still g… https://t.co/O75ZfdKWgk",neutral,,
Zainab Farooqi,"Imran khan continues to disappoint. There is no news of any COVID vaccine arriving any sooner, and the economic gro… https://t.co/iUSL44g2SA",neutral,,
???? Sher Ali Khan ????,"Pak Army should distance itself from politics, it means to give the corrupt politicians free hand to loot the count… https://t.co/epoEesgc2I",angry,,
Tanzeela Mazhar,"Watch News Today with Tanzeela Mazhar @gtvnetworkhd tonight at 8:05 pm 
With Faisal Karim kundi @fkkundi… https://t.co/xafwqghgid",neutral,,
Archive Pakistan,"Sheikh Rasheed totally focused on Maulana Fazal ur Rehman
https://t.co/GlTTqYHv35

#SheikhRasheed 
#PMImranKhan… https://t.co/RAGQBNL4E6",sarcastic,,
Sikander Bikak,RT @NDaultana: Priorities! If only they stop making #PDM their agenda and start focusing on governing for once,sarcastic,,
Archive Pakistan,"Sheikh Rasheed totally focused on Maulana Fazal ur Rehman
https://t.co/GlTTqYpTEv

#SheikhRasheed 
#PMImranKhan… https://t.co/f35BT18qk8",sarcastic,,
Axel Spitzer,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still g… https://t.co/KlvWgULlmu",neutral,,
Marium,RT @zaaraZAK: To whom it may concern! ! #PDM #PDMJalsa ??? Ooops!!! https://t.co/W89I5vc3pt,angry,,
Khan Muhammad Lashari,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Nabeel IndHar,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Nawab Adnan Chand,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Mr Andreson,@HamidMirPAK #PDM failure k baad Phapaa kuttni anchor Mir wanker ki new bullshit ????keep it coming ??,sarcastic,,
M Usama Kabbir,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
fahad h kandhro???? ????,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Mir Sadam Balhro????,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Javed Nayab Laghari,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
?????? ???? ???? ??,"RT @MubasharShahzad: #Indians, Ani-Pakistanis, #PMLN and #PPP and #PDM and Modi-Media altogether are tweeting #????_????_??? and standing a…",angry,,
Sharjeel Rana,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Muhammad Riaz Khan,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Bashir Nichari,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
The_Nation,"Law to be enforced if opposition's protest disturb regional peace: Sheikh Rashid
https://t.co/a2tNoqHZ3J… https://t.co/t3CMqFoQAn",neutral,,
Sadaf Rasheed,RT @FarhatullahB: @ImranKhanPTI admitting illegal funds days before #PDM dharna in front of ECP has a purpose. He wants that under sec 160…,angry,,
Shan Bhatti,"RT @92newschannel: Sheikh Rasheed terms Broadsheet as a case like Panama #sheikhrasheed #PDM #Panama
https://t.co/x61efApabX https://t.co/t…",disagree,,
Asfandyar Khan(Asfii),"RT @MubasharShahzad: #Indians, Ani-Pakistanis, #PMLN and #PPP and #PDM and Modi-Media altogether are tweeting #????_????_??? and standing a…",disagree,,
